category,title_ar,title_en,slug,active_period,school,status,note
thinkers,ماريان كلاين,Marianne Kline,thk-mariannekline,2000,الخبرة الجسدية (Somatic Experiencing),UNCERTAIN,"Searched but not found under this exact name. The well-documented Somatic Experiencing figure with a similar name is Maggie Kline, MS, LMFT (co-author with Peter Levine, Somatic Experiencing International faculty). Possible name confusion; not confirmed as the same person."
thinkers,مارييل كروغر,Marielle Kruger,thk-mariellekruger,2015,الأنساق الأسرية الداخلية (IFS),UNCERTAIN,"Searched but not found under this exact name. The well-documented IFS figure with a similar name is Mary (Plunkett) Kruger, MS, LMFT, IFS Institute Lead Trainer specializing in addictions/eating disorders. Possible name confusion; not confirmed as the same person."
thinkers,ماريسا بيركوور,Marisa Berkouwer,thk-marisaberkouwer,2010,العلاج الحسي-الحركي (Sensorimotor Psychotherapy),UNCERTAIN,"Searched but not found. Sensorimotor Psychotherapy field is founded/led by Dr. Pat Ogden; no source found for 'Marisa Berkouwer'."
thinkers,مارك سانتروس,Mark R. Dombeck,thk-mark-santross,2000,PCIT (العلاج التفاعلي بين الوالد والطفل),UNCERTAIN,"Arabic and English names do not match (Arabic transliterates to something like 'Mark Santross', English given as 'Mark Dombeck') — likely a data/mapping error. A real psychologist Mark Vigil Dombeck, PhD (licensed psychologist, Alameda CA, trauma/couples focus) was found, but no source ties him specifically to PCIT (Parent-Child Interaction Therapy), whose recognized originator is Sheila Eyberg. Needs correction/clarification before verifying."
thinkers,مارك ريس,Mark Reese,thk-markrees,1990,طريقة فيلدنكرايس,VERIFIED,"Real. Mark Reese, Ph.D. (15 Mar 1951 – d. 2006), one of Moshe Feldenkrais's original American students, a leading authority on and biographer of the Feldenkrais Method ('A Life in Movement'). Note: he died in 2006, so if active_period is meant to represent his working era, '1990' alone undersells his career span (he was active from the 1970s through 2006)."
thinkers,مارك ويلش,Mark Welch,thk-markwelch,2000,العلاج بالخبرة/التجريبي,UNCERTAIN,"Searched but not found as a documented experiential-therapy theorist. Several unrelated people named Mark Welch surfaced (a psychiatrist in Loma Linda CA, a physical therapist, a clinical planner); one practitioner using AEDP (Accelerated Experiential Dynamic Psychotherapy) named 'Mark' was found at psychgarden.com but full name/surname match was not confirmed."
thinkers,ماري إلمكويست,Mary Elmquist,thk-mary-elmquist,2010,br-recovery-oriented,UNCERTAIN,"Searched but not found under this exact first name. A psychologist named JoAnna Elmquist, PhD (Samaritan Health, treats eating disorders/substance use/trauma) was found — different first name, not confirmed as the same person."
thinkers,ماري غوثري,Mary Guthrie,thk-mary-guthrie,2012,العلاج الديناميكي البيني القصير (DIT),UNCERTAIN,"Searched but not found. DIT (Dynamic Interpersonal Therapy) is documented as developed by Alessandra Lemma, Mary Target, and Peter Fonagy at the Anna Freud Centre — no source ties a 'Mary Guthrie' to DIT specifically; other 'Mary Guthrie' results found (LCSW, equestrian coach) are unrelated fields."
thinkers,ماري ستيوارت,Mary Stewart,thk-mary-stewart,1980,تحليل المعاملات (TA),UNCERTAIN,"Searched but not found. The major documented TA author/figure with a similar name is Ian Stewart (male; co-author of 'TA Today' with Vann Joines, Co-Director of the Berne Institute). Possible name confusion; no source found for a female 'Mary Stewart' in TA."
thinkers,ماري وايتهاوس,Mary Whitehouse,thk-mary-whitehouse,1950-1979,العلاج بالحركة والرقص,VERIFIED,"Real. Mary Starks Whitehouse, pioneer dance therapist and Jungian-influenced originator of 'Authentic Movement' / movement-in-depth, developed in the 1950s. active_period 1950-1979 aligns well with documented sources."
thinkers,ماري أولسون,Mary E. Olson,thk-maryolson,2000,الحوار المفتوح,VERIFIED,"Real. Mary E. Olson, PhD, founder/director of the Institute for Dialogic Practice, faculty at Smith College School for Social Work, prominent US figure bringing Open Dialogue (with Jaakko Seikkula et al.) to the United States."
thinkers,ماساكي تاكاهاشي,Masaaki Takahashi,thk-masaaki-takahashi,1980,علاج نايكان,UNCERTAIN,"Searched but not found as a Naikan therapy figure. Naikan was founded by Yoshimoto Ishin; a different figure, psychiatrist Takemoto Takahiro, is documented as introducing Naikan into Japanese psychiatric institutions. Other same-name people found (a poet, an economist) are unrelated fields. No source ties 'Masaaki Takahashi' to Naikan."
thinkers,ماسون دوري,Sir Mason Durie,thk-masondurie,1972,Kaupapa Māori Psychology,VERIFIED,"Real and prominent. Sir Mason Durie, ONZ KNZM FRSNZ FRANZCP, Massey University, developer of the Te Whare Tapa Whā model and a foundational figure in Māori health/psychology. Extensively documented; matches school and general era (active from 1970s onward)."
thinkers,مارغريت باومان,Margaret Bauman,thk-mbauman,1985,العلاج التكاملي-النمائي (DIR/Floortime),VERIFIED,"Real. Margaret L. Bauman, MD (neurologist), closely associated with DIR/Floortime (ICDL) clinical practice guidelines and autism neurobiology research. Note she is an MD/neurologist rather than a psychologist by training, but is a documented practitioner/contributor within the DIR/Floortime field."
thinkers,مايكل بيليغ,Michael Billig,thk-mbillig,1988,علم النفس الخطابي (Discursive Psychology),VERIFIED,"Real and prominent. Professor Michael Billig, Loughborough University, a founding figure of discursive/rhetorical psychology and the Discourse and Rhetoric Group. Well documented across academic sources; matches school exactly."
thinkers,مايكل بوغِنشوتس,Michael P. Bogenschutz,thk-mbogenschutz,2010,العلاج بمساعدة psilocybin,VERIFIED,"Real. Michael P. Bogenschutz, MD, NYU Langone Health, principal investigator of major psilocybin-assisted psychotherapy trials for alcohol use disorder (JAMA Psychiatry 2022 and related NIH-registered trials). Matches school exactly."
thinkers,مارفن تشِن,Marvin Chen,thk-mchen,1985-2010,السيكودراما والسوسيومتري,UNCERTAIN,"Searched but not found. No source located for 'Marvin Chen' in psychodrama/sociometry literature; a different, unrelated name (Marvin Knittel, writing on psychodrama/sociometry/life scripts) surfaced but does not match."
thinkers,مانفريد شيربكا,Manfred Cierpka,thk-mcierpka,1980,العلاج الإيجابي عبر-الثقافي (Peseschkian),VERIFIED,"Real. Manfred Cierpka, MD (d. 2017), was director of the Institute for Psychosocial Prevention, Heidelberg University Hospital, a leading figure in family/psychosomatic and parent-infant psychotherapy. Note: his well-documented specialty is family systems and psychosomatic/parent-infant therapy; no direct source confirms a specific tie to Peseschkian's cross-cultural Positive Psychotherapy school as listed — this pairing should be re-checked against the original source."
thinkers,ماريك تشيسلاك,Marek Cieslak,thk-mcieslak,,البحث الظاهراتي (Phenomenological Research),UNCERTAIN,"A practicing Polish psychologist named Marek Cieślak (addiction specialist, psychologiaholistyczna.pl) was found, along with unrelated same-name academics (an economics professor, a chemist). None confirmed as working in phenomenological psychology research specifically, and active_period is blank in the source data, leaving no date to cross-check."
