category,title_ar,title_en,slug,active_period,school
thinkers,تيموثي ليري,Timothy Leary,thk-tleary,1960-1996,العلاج بمساعدة المواد النفسانية
thinkers,ثيودور ليدز,Theodore Lidz,thk-tlidz,1952-1985,التحليل النفسي الدوري (Cyclical Psychodynamics)
thinkers,توماس مايرز,Thomas W. Myers,thk-tmyers,1998,الرولفينغ والتكامل الهيكلي
thinkers,توم كورنول,Tom Cornwell,thk-tom-cornwell,2000,br-restorative-justice
thinkers,توني وايت,Tony White,thk-tony-white,1968-2010,تحليل المعاملات (TA)
thinkers,تيري بيشو,Teri Pichot,thk-tpichot,1993,العلاج القصير المرتكز على الحل (SFBT)
thinkers,تود ريسلي,Todd R. Risley,thk-trisley,1968-2017,br-aba-autism
thinkers,توني روبنز,Tony Robbins,thk-trobbins,1983,البرمجة اللغوية العصبية (NLP)
thinkers,ترودي شوپ,Trudi Schoop,thk-trudi-schoop,1930-1990,العلاج بالحركة والرقص
thinkers,توني سيكستون,Toni L. Sexton,thk-tsexton,2000,PCIT
thinkers,تينا سترومستد,Tina Stromsted,thk-tstromsted,1985,الحركة الأصيلة
thinkers,توماس تِئو,Thomas Teo,thk-tteo,1998,علم النفس النقدي
thinkers,تِمُوتي تشيشيكو,T.G. Tshishiku,thk-ttshishiku,1990-2010,علم نفس الأوبونتو (Ubuntu)
thinkers,أومبيرتا تِلفِنِر,Umberta Telfener,thk-utelfener,1985-2010,العلاج الأسري الميلاني (Milan Systemic)
thinkers,فيفيَن بار,Vivien Burr,thk-vburr,1990,البنائية الاجتماعية (Social Constructionism)
thinkers,فابريتسيو كَريرا,Fabrizio Carrera,thk-vcarrera,1990,العلاج الأسري الميلاني (Milan Systemic)
thinkers,فيكتور فرانكل,Viktor E. Frankl,thk-viktorfrankl,1925-1997,المدرسة الوجودية
thinkers,سوامي فيفيكاناندا,Swami Vivekananda,thk-vivekananda,1886-1902,علم النفس الأيورفيدي/الهندي التقليدي
thinkers,فرجينيا جونسون,Virginia E. Johnson,thk-vjohnson,1957-2013,br-sex-therapy
thinkers,بيل دوهرتي,William J. Doherty,thk-wdoherty,2011,Discernment Counseling (الاستشارة التمييزية)
thinkers,ناعيم أكبر,Na'im Akbar,thk-wdowling,1984-2020,علم النفس المتمركز حول أفريقيا
thinkers,ويندي دريدن,Windy Dryden,thk-wdryden,1985,br-single-session-therapy
thinkers,ويني دون,Winnie Dunn,thk-wdunn,1999,br-sensory-integration
thinkers,وليام هدسون,William Hudson O'Hanlon,thk-william-hudson,1985,التنويم الإريكسوني
thinkers,فيرنر يانتساريك,Werner Janzarik,thk-wjanzarik,1952-2014,مدرسة شولتز-هينكه الألمانية (Neo-Kraepelinian)
thinkers,فولفغانغ كولَر,Wolfgang Köhler,thk-wkohler,1913-1967,علم النفس الجشطالتي (برلين)
thinkers,وليام كروغر,William S. Kroger,thk-wkroger,1945-1996,التنويم المعرفي
thinkers,وليام ماسترز,William H. Masters,thk-wmasters,1957-2001,br-sex-therapy
thinkers,فولفغانغ ميتزغر,Wolfgang Metzger,thk-wmetzger,1930-1979,علم النفس الجشطالتي (برلين)
thinkers,ويلِم سَبُولدِنغ,Wilma Spaulding,thk-wspaulding,1970-2010,br-psychiatric-rehabilitation
thinkers,وايات وودسمول,Wyatt Woodsmall,thk-wwood,1985-2010,البرمجة اللغوية العصبية (NLP)
thinkers,يفون دولان,Yvonne M. Dolan,thk-ydolan,1991,العلاج القصير المرتكز على الحل (SFBT)
thinkers,تشو يي-هوا,Zhu Yihua,thk-yihuazhu,2005,الطاوية المعرفية (Taoist Cognitive Therapy)
thinkers,ياسين محمد,Yasien Mohamed,thk-ymohamed,1995,علم النفس الإيجابي الإسلامي
thinkers,باراماهانزا يوغاناندا,Paramahansa Yogananda,thk-yogananda,1920-1952,علم النفس الأيورفيدي/الهندي التقليدي
thinkers,إيڤاني إدمون,Yvani E. Edmon,thk-yvaniedmon,2000,طريقة فيلدنكرايس
thinkers,تشانغ يونغ تشيانغ,Zhang Yongqiang,thk-zhangyongqiang,2000,الطاوية المعرفية (Taoist Cognitive Therapy)
thinkers,زبينيو ليبوفسكي,Zbigniew J. Lipowski,thk-zlipowski,1967-1997,علم النفس الطبي النفسي
thinkers,زوي مايو,Zoë Mailloux,thk-zmailloux,1990,التكامل الحسي (Sensory Integration)
