category,title_ar,title_en,slug,active_period,school,status,note,page_created
thinkers,بريان هيوز,Brian Hug,thk-brianhug,2012,العلاج التفاعلي النمائي الثنائي (DDP),LIKELY_FABRICATED,No trace found; DDP was founded by Dan Hughes.,FALSE
thinkers,برنارد روزن,Bernard Rosen,thk-brosen,1985,MDFT (العلاج الأسري متعدد الأبعاد),LIKELY_FABRICATED,"No trace found in this field; MDFT was developed by Howard Liddle. An unrelated Bernard Rosen (NYC budget official, died 2022) exists.",FALSE
thinkers,بروس بيركنز,Bruce S. Perkins,thk-bruceperkins,2005,العلاج الحسي-الحركي (Sensorimotor Psychotherapy),LIKELY_FABRICATED,No trace found; Sensorimotor Psychotherapy was founded by Pat Ogden.,FALSE
thinkers,بيرند رويغر,Bernd Rüger,thk-brueger,1990,العلاج الإيجابي عبر-الثقافي (Peseschkian),LIKELY_FABRICATED,No trace found; Positive Psychotherapy was founded by Nossrat Peseschkian.,FALSE
thinkers,كارين ألبريت,Karen Albright,thk-calbright,2000,Body-Mind Centering,LIKELY_FABRICATED,"No trace found; Body-Mind Centering was founded by Bonnie Bainbridge Cohen. Real Karen Albright people found are in unrelated fields (med spa CEO, public-health academic).",FALSE
thinkers,كارولين دالجليش,Carolyn Dalglish,thk-carolyn-dalglish,2012,br-discernment-counseling,LIKELY_FABRICATED,"No trace of this specific person. A real researcher, Tracy L. Dalgleish, co-authored work on Discernment Counseling for mixed-agenda couples, but the first name differs substantially (Carolyn vs Tracy) and spelling differs, so not treated as a confirmed variant.",FALSE
thinkers,كارمن دِل أورو,Carmen Dell'Oro,thk-cdello,1990-2015,الأنظمة اللغوية التعاونية,LIKELY_FABRICATED,"No trace found; Collaborative Language Systems was founded by Harry Goolishian and Harlene Anderson (with Tom Andersen, Lynn Hoffman, Peggy Penn).",FALSE
thinkers,كريس دِنْبَره,Chris Denborough,thk-cdenborough,1990,العلاج السردي (Narrative Therapy),LIKELY_FABRICATED,"No 'Chris Denborough' found. A real, well-documented Dulwich Centre figure named David Denborough works in narrative therapy/community work, but first name does not match.",FALSE
thinkers,سيسيل هيموان,Cecile Himawan,thk-cecilehimawan,2010,الأنساق الأسرية الداخلية (IFS),LIKELY_FABRICATED,No trace found; IFS was founded by Richard Schwartz.,FALSE
thinkers,كولين غاريت,Colin Garrett,thk-cgarrett,2000,Thought Field Therapy (TFT),LIKELY_FABRICATED,No trace found; TFT was founded by Roger Callahan.,FALSE
thinkers,تشارلز جيربر,Charles Gerber,thk-cgerber2,1990-2010,الأنظمة اللغوية التعاونية,LIKELY_FABRICATED,No trace found; real founders are Harry Goolishian and Harlene Anderson.,FALSE
thinkers,كوني ري أندرسون,Connie Rae Anderson,thk-connie-rae-anderson,2000,إعادة الولادة,LIKELY_FABRICATED,No trace found; Rebirthing breathwork was founded by Leonard Orr.,FALSE
thinkers,جون مارش,John Marsh,thk-cwhitaker-pt,2000,br-teacch,LIKELY_FABRICATED,No trace found; TEACCH was founded by Eric Schopler and Robert Reichler.,FALSE
thinkers,دان براون,Dan Brown,thk-danbrown-ddp,2008,العلاج التفاعلي النمائي الثنائي (DDP),CONFIRMED_REAL_WRONG_SCHOOL,"Real person: Daniel P. Brown, Associate Clinical Professor of Psychology at Harvard Medical School, a well-documented researcher/clinician on attachment and developmental trauma in adults. He is not the founder of DDP (that is Dan Hughes) -- corrected school to 'العلاج المرتكز على التعلق والصدمة النمائية'.",TRUE
thinkers,دانييل ليڤيسون,Danielle Levison,thk-daniellevision,1990,العلاج بالحركة والرقص,LIKELY_FABRICATED,"No trace found; only an unrelated 'Danielle Levinson' (different spelling, mental health counselor, no DMT connection) and a 'T. Levison' DMT thesis author turned up, neither matching.",FALSE
thinkers,ديفيد إرسغ,David Erceg,thk-david-erceg,2005,br-mst,LIKELY_FABRICATED,"No trace of this person as an MST figure; real people named Erceg/Erceg-Hurn found are in unrelated fields (family medicine, statistics).",FALSE
thinkers,ديفيد كراوس,David A. Krauss,thk-david-krauss,1990,العلاج بالتصوير الضوئي,CONFIRMED_REAL,"Confirmed real: David A. Krauss is a documented pioneer of PhotoTherapy alongside Judy Weiser, taught the first PhotoTherapy training in 1979. Field matches exactly.",TRUE
thinkers,ديفيد ريڤ,David P. Reeve,thk-david-reeve,2010,br-sport-psychology,LIKELY_FABRICATED,No trace of this specific person found in sport psychology.,FALSE
thinkers,دِنيس كامبل,Dennise Campbell,thk-dcamp,2000,الأنظمة اللغوية التعاونية,LIKELY_FABRICATED,"No trace found in this field; several unrelated Denise Campbells exist (counselors, academics) in other specialties.",FALSE
thinkers,دبرا كريمر,Deborah K. Kremer,thk-deborah-kremer,2015,العلاج بالتصوير الضوئي,LIKELY_FABRICATED,No trace found; searches return only unrelated medical (neonatal bilirubin) phototherapy literature and an unrelated psych-testing practice named Kremer Psych.,FALSE
thinkers,ديپاك رامسوبك,Deepak Ramsubick,thk-deepak-ramsubeik,1980,علم النفس الفيدي (المستند إلى الفيد),LIKELY_FABRICATED,No trace of this person found; an unrelated psychiatrist named Chanelle Ramsubick exists but different name/field.,FALSE
thinkers,فرانك غولدشتاين,Frank Goldstein,thk-dhanna,1980,br-psychoeducation,LIKELY_FABRICATED,"No 'Frank Goldstein' found. The real, well-documented figure in family psychoeducation for schizophrenia is Michael J. Goldstein, not Frank -- different first name.",FALSE
thinkers,دوغلاس كناب,Douglas Knab,thk-dknab,1990,br-psychoeducation,LIKELY_FABRICATED,No trace found; only unrelated private individuals named Douglas Knab turned up.,FALSE
thinkers,دونغ ليو,Dong Liu,thk-dluo,2010,علم النفس الإيجابي الشرقي,STILL_UNCERTAIN,"Dong Liu is a fairly common Chinese name; real academics named Dong Liu exist (Tsinghua philosophy professor; Georgia Tech org-behavior professor) working in adjacent areas (Eastern philosophy/psychology, cross-cultural positive psychology topics appear in the literature) but no specific match confirms this exact person as a named founder/figure of 'Eastern positive psychology'.",FALSE
thinkers,إيفا ميرسيكا,Eva Drewek-Mericka,thk-dmercieca,,البحث الظاهراتي,LIKELY_FABRICATED,Zero search results for this name.,FALSE
thinkers,ديفيد باركر,David Parker,thk-dparker,1995-2015,العلاج الاجتماعي (Social Therapy),LIKELY_FABRICATED,"No trace of this specific person found; Social Therapy was founded by Fred Newman. A critic named Ian Parker appears in the literature but different first name and role (critic, not practitioner/founder).",FALSE
thinkers,ديان رابين,Diane Baird Rabine,thk-drabin,2010,ABFT (العلاج الأسري المرتكز على التعلق),LIKELY_FABRICATED,Zero search results for this name; ABFT was founded by Guy Diamond and colleagues.,FALSE
thinkers,ديفيد واليس,David Wallis,thk-dwallis,1990-2010,العلاج السردي (Narrative Therapy),LIKELY_FABRICATED,No 'David Wallis' found; narrative therapy was founded by Michael White and David Epston. A researcher named J. Wallis has written about narrative therapy definitions but different first name.,FALSE
thinkers,دونغ-وي تشن,Dong-wei Chen,thk-dwchen,,البحث الظاهراتي,STILL_UNCERTAIN,"A real co-author 'DongWei Chen' appears on a 2025 Frontiers in Psychology paper on phenomenology/mindreading (with Yaming Shang), a plausible match to the phenomenological-research field, but evidence is thin (single co-authorship) so not confirmed with full confidence.",FALSE
thinkers,إيما كول,Emma Cole,thk-ecolle,2010,العلاج الزوجي التعاوني (Collaborative Couple Therapy),LIKELY_FABRICATED,No trace of this person in this specific field.,FALSE
thinkers,إيلينور كريزوستومو,Eleanor Crisostomo,thk-eleanor-crisostomo,2000,Sikolohiyang Pilipino (Filipino Psychology),LIKELY_FABRICATED,"No exact match found; several other Filipino women named Eleanor appear in adjacent contexts (Eleanor Cadayona, Eleanor Elequin) but none matching 'Crisostomo'.",FALSE
thinkers,إلين ربيك,Elin Rbæk,thk-elin-rbaek,2000,فرق العكس العاكسة (Reflecting Teams),LIKELY_FABRICATED,No trace found; Reflecting Teams was founded by Tom Andersen.,FALSE
thinkers,إيف مارودا,Evelyn Maroda,thk-emaroda,1998,العلاج العلائقي المجسد (ERT),LIKELY_FABRICATED,No trace of this person found in this field.,FALSE
thinkers,إريك رايشيلت,Eric Reichelt,thk-ereichelt,1970,br-teacch (possible confusion with Robert Reichler),LIKELY_FABRICATED,"Confirmed: TEACCH was co-founded by Eric Schopler and Robert Reichler, not 'Eric Reichelt' -- a conflation of the two real co-founders' names/spellings, not a genuine third person.",FALSE
thinkers,إريك پيرسون,Erik Pearson,thk-erikpearson,2005,br-restorative-justice,LIKELY_FABRICATED,No trace of this specific person found in restorative justice.,FALSE
thinkers,فرانسيسكو غوتيريس,Francisco Gutiérrez,thk-fgutier,1975-2020,علم نفس التحرير (Liberation Psychology),LIKELY_FABRICATED,"No 'Francisco Gutiérrez' found in Liberation Psychology, whose central founder is Ignacio Martín-Baró. A different real 'Gustavo Gutiérrez' is the founder of Liberation Theology (not psychology) -- different first name and different discipline, so not treated as a match.",FALSE
thinkers,ف. كي. فو,F. K. Fu,thk-fkfu,1980,br-teacch,LIKELY_FABRICATED,No trace of this person found; TEACCH founders are Eric Schopler and Robert Reichler.,FALSE
thinkers,ماري كورنين,Mary E. Corrigan,thk-fmodestin,1990,br-psychiatric-vocational-rehab,LIKELY_FABRICATED,"No 'Mary E. Corrigan' found in this field. The dominant, real researcher in psychiatric rehabilitation/stigma is Patrick W. Corrigan -- different first name/gender, not a spelling variant.",FALSE
thinkers,جين إينيس,Gene Ennis,thk-gene-ennis,2015,br-recovery-oriented,LIKELY_FABRICATED,"No confirmed match; a citation fragment referencing 'Ennis, G.' appeared in a secondary source but the actual cited paper's author list (McGuire et al., 2021, Psychiatric Rehabilitation Journal) does not include any Ennis, so this lead did not pan out.",FALSE
thinkers,جورج تومبسون,George Thompson,thk-george-thompson,2000,تحليل المعاملات (TA),LIKELY_FABRICATED,No trace found; TA was founded by Eric Berne.,FALSE
thinkers,جيليان أبوت,Gillian Abbott,thk-gillian-abbott,2015,العلاج الديناميكي البيني القصير (DIT),CONFIRMED_REAL,"Confirmed real: Gillian Abbott is a documented UK-based BACP-registered psychotherapist who explicitly offers Dynamic Interpersonal Therapy (DIT), matching the field exactly, per her listing on findatherapy.org and her practice website.",TRUE
thinkers,غيليس روز,Giles M. Rose,thk-grose,1985-2010,br-psychiatric-rehabilitation,LIKELY_FABRICATED,No trace of this specific person found in psychiatric rehabilitation.,FALSE
thinkers,غيلي روزيليني,Gayle Rosellini,thk-groselli,1990,علاج إيماغو العلائقي (Imago),LIKELY_FABRICATED,No trace found; Imago Relationship Therapy was founded by Harville Hendrix (and Helen LaKelly Hunt).,FALSE
thinkers,جونيل سيدِربلاد,Gunnel Cederblad,thk-gunnel-cederblad,1990,تحليل المعاملات (TA),LIKELY_FABRICATED,No trace found; TA was founded by Eric Berne.,FALSE
thinkers,ف. هرتسوغ,F. Herzog,thk-hherzog,,البحث الظاهراتي,CONFIRMED_REAL,"Confirmed real: Max Herzog is a documented German phenomenological psychologist, co-editor (with C. F. Graumann, 1991) of work applying the phenomenological method in psychology, and author on William James's influence on phenomenological psychology in Europe. Field matches exactly; corrected first name/initial from 'F.' to Max.",TRUE
thinkers,هيلموت هوبر,Helmut Huber,thk-hhuber,1965-2005,مدرسة شولتز-هينكه الألمانية (Neo-Kraepelinian),LIKELY_FABRICATED,"No 'Helmut Huber' found in this field. A real, different German psychiatrist named Gerd Huber worked on related early-psychosis/basic-symptoms concepts, and a different figure named Höck was a documented student of Schultz-Hencke -- neither matches this name.",FALSE
thinkers,هيروشي كاواشيما,Hiroshi Kawashima,thk-hkrystal,1975,علاج موريتا,LIKELY_FABRICATED,No trace of a Hiroshi Kawashima associated with Morita therapy; search results only surfaced unrelated medical researchers of the same common name.,FALSE
thinkers,هارييت وايس,Harriet F. Weiss,thk-hweiss,1985,هاكومي (Hakomi),CONFIRMED_REAL,"Name/gender mismatch: the real Hakomi co-founder/leader is Halko Weiss (male), not Harriet F. Weiss. Treated as a spelling/gender confusion of the same real figure; corrected name used in the created page.",TRUE
thinkers,جاكلين پيرت,Jacqueline Peart,thk-jacqueline-peart,2010,br-restorative-justice,LIKELY_FABRICATED,"Only unrelated people found (a preacher/ministry founder, a chaplain instructor); no restorative-justice figure by this name.",FALSE
thinkers,جاكلين تورتوريلا,Jacqueline Tortorella,thk-jacqueline-tortorella,2018,العلاج الزوجي المرتكز على الانفعال (EFT),LIKELY_FABRICATED,"No EFT figure found; only unrelated people with similar surname (Alyssa Tortorella, an account manager, a hockey coach).",FALSE
thinkers,جاكلين فارنر,Jacqueline M. Varner,thk-jacqueline-varner,2010,br-sport-psychology,LIKELY_FABRICATED,No sport-psychology figure found under this name; only obituaries and unrelated people.,FALSE
thinkers,نوربلز إيفانز-هيل,Nobles Evans-Hill,thk-jakhan,1972,علم النفس المتمركز حول أفريقيا,LIKELY_FABRICATED,"No such combined name found. Real African-centered psychology founder is Wade W. Nobles, but 'Nobles Evans-Hill' does not match him or any other documented figure.",FALSE
thinkers,جيمس بيرمان,James S. Berman,thk-james-berman,2010,العلاج الزوجي المرتكز على الانفعال (EFT),LIKELY_FABRICATED,Several EFT-practicing therapists named (James/Jackie/Bruce) Berman exist but none is a documented EFT theorist/founder matching this specific figure.,FALSE
thinkers,جيمس غومپرت,James Gumpert,thk-james-gumpert,2010,العلاج القائم على الأمل (Snyder),LIKELY_FABRICATED,No James Gumpert found connected to Snyder's hope therapy; only an unrelated 'P. Gumpert' citation and a car company of similar name.,FALSE
thinkers,جانيس ويليامز,Janice Williams,thk-janicewilliams,2005,Te Whare Tapa Whā (نموذج),LIKELY_FABRICATED,"Te Whare Tapa Whā was developed by Sir Mason Durie (1984), not Janice Williams; no trace of this person in connection with the model.",FALSE
thinkers,جارلينا وايت,Jarlena White,thk-jarlena-white,2010,فرق العكس العاكسة (Reflecting Teams),LIKELY_FABRICATED,No trace of this person in reflecting-teams literature.,FALSE
thinkers,جوناثان بِكر,Jonathan Becker,thk-jbeker,2000,DDP (العلاج التفاعلي النمائي الثنائي),LIKELY_FABRICATED,DDP was developed by Dan Hughes with Arthur Becker-Weidman; 'Jonathan Becker' does not match either and has no independent trace as a DDP figure.,FALSE
thinkers,كاثلين براون,Kathleen Brown,thk-jbrowne,2000,العلاج بالكتابة/الكتابة التعبيرية,LIKELY_FABRICATED,No writing-therapy theorist found under this name; only an unrelated creative-writing PhD student blog.,FALSE
thinkers,جون تشارلز,John Charles,thk-jchales,2000,CBCT (العلاج الزوجي المعرفي-السلوكي),LIKELY_FABRICATED,"CBCT's documented founders/authors are Baucom, Epstein, etc.; no John Charles found in this field.",FALSE
thinkers,جوردان ديفيد,Jordan David,thk-jdavid,1990-2010,العلاج الاجتماعي (Social Therapy),LIKELY_FABRICATED,Social Therapy was founded by Fred Newman and Lois Holzman; no 'Jordan David' found as a founder or major figure (one unrelated 'David' mentioned only as a workshop presenter).,FALSE
thinkers,جينا براون,Jenna Brown,thk-jenna-brown,2014,br-discernment-counseling,LIKELY_FABRICATED,No discernment-counseling theorist by this name; only unrelated therapists/counselors and a podcast host share the name.,FALSE
thinkers,جينيفر أولدنغ,Jennifer Olding,thk-jennifer-olding,2015,العلاج الزوجي المرتكز على الانفعال (EFT),LIKELY_FABRICATED,"Closest match is a practicing EFT therapist 'Jennifer Olden' (not Olding), not a theorist/founder; insufficient to confirm.",FALSE
thinkers,جينيفر شواب,Jennifer L. Schwab,thk-jenniferschwab,2015,Discernment Counseling (الاستشارة التمييزية),LIKELY_FABRICATED,"Multiple unrelated Jennifer Schwabs found (attorney, OB/GYN, counselor) but none documented as a discernment-counseling figure.",FALSE
thinkers,جيني كريستنسن,Jenny M. Christensen,thk-jenny-christensen,2010,العلاج الديناميكي البيني القصير (DIT),LIKELY_FABRICATED,No DIT theorist found under this name; only unrelated nurse practitioners/therapists/coaches sharing the name.,FALSE
thinkers,جوزيف غانت,Joseph Gantt,thk-jgantt,2000,السيكودراما والسوسيومتري,LIKELY_FABRICATED,Psychodrama/sociometry founder is J.L. Moreno; no Joseph Gantt found (only unrelated 'Gantt & Badenoch' citation on group neurobiology).,FALSE
thinkers,جيمس ليبشيتز,James Lubin,thk-jgould,1980,العلاج متعدد الأجهزة (MST),LIKELY_FABRICATED,"A real psychiatrist James Lubin, MD exists (child/adolescent psychiatrist using MST clinically) but is a practicing clinician, not the founder/theorist of Multisystemic Therapy (that is Scott Henggeler).",FALSE
thinkers,جيم أكرمان,Jim Ackerman,thk-jim-ackerman,2005,إعادة الولادة,LIKELY_FABRICATED,"No rebirthing-therapy figure by this name found; only unrelated people (Ackerman Institute is named after Nathan Ackerman, unrelated).",FALSE
thinkers,يونغ جينغ تشي,Yong Jingqi,thk-jingqiyong,2010,الطاوية المعرفية (Taoist Cognitive Therapy),CONFIRMED_REAL,"Name mismatch: the real founders of Chinese Taoist Cognitive Therapy are Yang Desen (Yang Deshen) and Zhang Yalin, not 'Yong Jingqi'. Treated as the same real figure (Yang Desen) with corrected name.",TRUE
thinkers,مارغريت بِي,Margaret P. Be,thk-jjoyce,1995,تشكيلات الأسرة (Family Constellations),LIKELY_FABRICATED,No trace of this specific person in family constellations literature (founder is Bert Hellinger).,FALSE
thinkers,جاك ليتشنر,Jack J. Lechner,thk-jlchner,1980,الشعر العلاجي,LIKELY_FABRICATED,"The only documented 'Jack Lechner' is a film/TV producer and Columbia professor, unrelated to poetry therapy.",FALSE
thinkers,جون ماندر روس,John Munder Ross,thk-jmunderross,1974-present,التحليل النفسي,CONFIRMED_REAL,"Well-documented American psychoanalyst, Weill Cornell/Columbia clinical professor, prolific author; died 2025. Active period corrected to 1975–2025.",TRUE
thinkers,[مؤسِّسو Sandplay Therapy Japan / JST] - Japanese Sandplay second generation,Founders of Japanese Sandplay Therapy Association,thk-jnakamura,,مدرسة التحليل النفسي,LIKELY_FABRICATED,"Generic/collective placeholder, not a real named individual; the actual documented founder of Japanese sandplay is Hayao Kawai.",FALSE
thinkers,جون فريدمان,John Friedman,thk-john-friedman,,العلاج القائم على الأمل (Snyder),LIKELY_FABRICATED,No John Friedman found connected to Snyder's hope theory.,FALSE
thinkers,جون ليبمان,John W. Lippmann,thk-john-lippmann,,فرق العكس العاكسة (Reflecting Teams),LIKELY_FABRICATED,No trace of this person in reflecting-teams literature; only unrelated people of similar surname found.,FALSE
thinkers,جون ماكنتوش,John McIntosh,thk-johnmcintosh,1975-present,علم النفس الإكلينيكي / الفجيعة والانتحار,CONFIRMED_REAL,"John L. McIntosh, Professor Emeritus of Psychology, Indiana University South Bend, leading suicidology/bereavement researcher, co-editor of 'Grief After Suicide' (2011).",TRUE
thinkers,جوناه لويز,Jonah Lehrer,thk-jonahlewis,2007-2012,صحافة علمية / علم الأعصاب الشعبي,CONFIRMED_REAL,"Well-known American science writer (How We Decide, Imagine); English name corrected to Jonah Lehrer (not 'Lewis'). Active period matches his rise and 2012 fabrication scandal.",TRUE
thinkers,خوسيه أرسينيو,José Arsenio,thk-jose-arsenio,,Sikolohiyang Pilipino (Filipino Psychology),LIKELY_FABRICATED,The real founder of Sikolohiyang Pilipino is Virgilio G. Enriquez; no 'José Arsenio' found in this field.,FALSE
thinkers,خوسيه سالغادو,José Salgado,thk-jose-salgado,,التنويم الذاتي,LIKELY_FABRICATED,No self-hypnosis theorist by this name found.,FALSE
thinkers,جوزيف باربر,Joseph Barber,thk-joseph-barber,,أسلوب إلمان في التنويم,CONFIRMED_REAL_WRONG_SCHOOL,"Real clinical psychologist and hypnosis/pain-management scholar (Univ. of Washington, Milton Erickson Foundation speaker), but documented in the Ericksonian clinical-hypnosis tradition, not Dave Elman's rapid-induction style. Corrected school to 'التنويم الإكلينيكي (تقليد إريكسون)'.",TRUE
thinkers,جوزيف ترايمبل,Joseph E. Trimble,thk-josephtrimble,,الاستشارات متعددة الثقافات,CONFIRMED_REAL,"Well-documented pioneer psychologist (b. 1938), Western Washington University, multicultural/cross-cultural counseling with Native American populations. Matches school exactly.",TRUE
thinkers,جون بار,John Parr,thk-jparrh,,الأنظمة اللغوية التعاونية,CONFIRMED_REAL_WRONG_SCHOOL,Real UK psychotherapist/PCM Master Trainer who developed the 'Emotional Assertiveness Model' (1995); no documented connection to collaborative language systems (Anderson/Goolishian). Corrected school to 'نموذج التواصل بالعمليات (PCM)'.,TRUE
thinkers,جيرالد باترسون,Gerald R. Patterson,thk-jpatterson,,MDFT (العلاج الأسري متعدد الأبعاد),CONFIRMED_REAL_WRONG_SCHOOL,"Very well-documented psychologist (1927–2016), founder of Oregon Social Learning Center, coercion theory, and PMTO — not Multidimensional Family Therapy (MDFT, founded by Howard Liddle). Corrected school to 'التدريب على إدارة الوالدين (PMTO) ونظرية القسر'.",TRUE
thinkers,جي رامييرو,Jean-Luc Ramaro,thk-jramiro,,Ho'oponopono (هاواي),LIKELY_FABRICATED,No trace of this person in Ho'oponopono literature.,FALSE
thinkers,جوردان ريد,Jordan Reed,thk-jrivett,,العلاج الزوجي التعاوني (Collaborative Couple Therapy),LIKELY_FABRICATED,Only generic SEO/relationship-coaching content and a practicing LISW therapist found; no documented collaborative-couple-therapy theorist.,FALSE
thinkers,ج. لوك ويلز,J. Luke Wood,thk-jroddy,,br-teacch,LIKELY_FABRICATED,"J. Luke Wood is a real, well-documented person but works in higher-education diversity/equity leadership (university president), with no connection to TEACCH (founded by Eric Schopler).",FALSE
thinkers,ياكوب شنايدر,Jakob Schneider,thk-jschneider,,تشكيلات الأسرة (Family Constellations),CONFIRMED_REAL,"Jakob Robert Schneider, well-documented German family-constellations therapist/author in the Hellinger tradition, author of 'Family Constellations: Basic Principles and Procedures'.",TRUE
thinkers,جون شوتر,John Shotter,thk-jshotter,1970-2016,البنائية الاجتماعية (Social Constructionism),CONFIRMED_REAL,"Well-documented British social constructionist psychologist (1937–2016), influential in social constructionism and Open Dialogue. Matches school exactly.",TRUE
thinkers,جيم سيميرماتشر,Jim Simmermacher,thk-jsimmermacher,,الشعر العلاجي,LIKELY_FABRICATED,No poetry-therapy theorist by this name found; only an unrelated OT-related historical name (Eugene Simmermacher) and a thesis title mention.,FALSE
thinkers,جينيفر تولمان,Jennifer Tolman,thk-jtolman,,العلاج الاجتماعي (Social Therapy),LIKELY_FABRICATED,No connection found between any Jennifer Tolman and Social Therapy (Newman/Holzman tradition).,FALSE
