category,title_ar,title_en,slug,active_period,school,status,note,page_created
thinkers,بوب بيك,Bob Beck,thk-bobbeck,1980-2014,السيبرنتيكا النفسية (Psycho-Cybernetics),LIKELY_FABRICATED,"No trace found; Psycho-Cybernetics was authored by Maxwell Maltz.",FALSE
thinkers,بريان هيوز,Brian Hug,thk-brianhug,2012,العلاج التفاعلي النمائي الثنائي (DDP),LIKELY_FABRICATED,"No trace found; DDP was founded by Dan Hughes.",FALSE
thinkers,برنارد روزن,Bernard Rosen,thk-brosen,1985,MDFT (العلاج الأسري متعدد الأبعاد),LIKELY_FABRICATED,"No trace found in this field; MDFT was developed by Howard Liddle. An unrelated Bernard Rosen (NYC budget official, died 2022) exists.",FALSE
thinkers,بروس بيركنز,Bruce S. Perkins,thk-bruceperkins,2005,العلاج الحسي-الحركي (Sensorimotor Psychotherapy),LIKELY_FABRICATED,"No trace found; Sensorimotor Psychotherapy was founded by Pat Ogden.",FALSE
thinkers,بيرند رويغر,Bernd Rüger,thk-brueger,1990,العلاج الإيجابي عبر-الثقافي (Peseschkian),LIKELY_FABRICATED,"No trace found; Positive Psychotherapy was founded by Nossrat Peseschkian.",FALSE
thinkers,كارين ألبريت,Karen Albright,thk-calbright,2000,Body-Mind Centering,LIKELY_FABRICATED,"No trace found; Body-Mind Centering was founded by Bonnie Bainbridge Cohen. Real Karen Albright people found are in unrelated fields (med spa CEO, public-health academic).",FALSE
thinkers,كارولين دالجليش,Carolyn Dalglish,thk-carolyn-dalglish,2012,br-discernment-counseling,LIKELY_FABRICATED,"No trace of this specific person. A real researcher, Tracy L. Dalgleish, co-authored work on Discernment Counseling for mixed-agenda couples, but the first name differs substantially (Carolyn vs Tracy) and spelling differs, so not treated as a confirmed variant.",FALSE
thinkers,كارمن دِل أورو,Carmen Dell'Oro,thk-cdello,1990-2015,الأنظمة اللغوية التعاونية,LIKELY_FABRICATED,"No trace found; Collaborative Language Systems was founded by Harry Goolishian and Harlene Anderson (with Tom Andersen, Lynn Hoffman, Peggy Penn).",FALSE
thinkers,كريس دِنْبَره,Chris Denborough,thk-cdenborough,1990,العلاج السردي (Narrative Therapy),LIKELY_FABRICATED,"No 'Chris Denborough' found. A real, well-documented Dulwich Centre figure named David Denborough works in narrative therapy/community work, but first name does not match.",FALSE
thinkers,سيسيل هيموان,Cecile Himawan,thk-cecilehimawan,2010,الأنساق الأسرية الداخلية (IFS),LIKELY_FABRICATED,"No trace found; IFS was founded by Richard Schwartz.",FALSE
thinkers,كولين غاريت,Colin Garrett,thk-cgarrett,2000,Thought Field Therapy (TFT),LIKELY_FABRICATED,"No trace found; TFT was founded by Roger Callahan.",FALSE
thinkers,تشارلز جيربر,Charles Gerber,thk-cgerber2,1990-2010,الأنظمة اللغوية التعاونية,LIKELY_FABRICATED,"No trace found; real founders are Harry Goolishian and Harlene Anderson.",FALSE
thinkers,كوني ري أندرسون,Connie Rae Anderson,thk-connie-rae-anderson,2000,إعادة الولادة,LIKELY_FABRICATED,"No trace found; Rebirthing breathwork was founded by Leonard Orr.",FALSE
thinkers,جون مارش,John Marsh,thk-cwhitaker-pt,2000,br-teacch,LIKELY_FABRICATED,"No trace found; TEACCH was founded by Eric Schopler and Robert Reichler.",FALSE
thinkers,دان براون,Dan Brown,thk-danbrown-ddp,2008,العلاج التفاعلي النمائي الثنائي (DDP),CONFIRMED_REAL_WRONG_SCHOOL,"Real person: Daniel P. Brown, Associate Clinical Professor of Psychology at Harvard Medical School, a well-documented researcher/clinician on attachment and developmental trauma in adults. He is not the founder of DDP (that is Dan Hughes) -- corrected school to 'العلاج المرتكز على التعلق والصدمة النمائية'.",TRUE
thinkers,دانييل ليڤيسون,Danielle Levison,thk-daniellevision,1990,العلاج بالحركة والرقص,LIKELY_FABRICATED,"No trace found; only an unrelated 'Danielle Levinson' (different spelling, mental health counselor, no DMT connection) and a 'T. Levison' DMT thesis author turned up, neither matching.",FALSE
thinkers,ديفيد إرسغ,David Erceg,thk-david-erceg,2005,br-mst,LIKELY_FABRICATED,"No trace of this person as an MST figure; real people named Erceg/Erceg-Hurn found are in unrelated fields (family medicine, statistics).",FALSE
thinkers,ديفيد كراوس,David A. Krauss,thk-david-krauss,1990,العلاج بالتصوير الضوئي,CONFIRMED_REAL,"Confirmed real: David A. Krauss is a documented pioneer of PhotoTherapy alongside Judy Weiser, taught the first PhotoTherapy training in 1979. Field matches exactly.",TRUE
thinkers,ديفيد ريڤ,David P. Reeve,thk-david-reeve,2010,br-sport-psychology,LIKELY_FABRICATED,"No trace of this specific person found in sport psychology.",FALSE
thinkers,دِنيس كامبل,Dennise Campbell,thk-dcamp,2000,الأنظمة اللغوية التعاونية,LIKELY_FABRICATED,"No trace found in this field; several unrelated Denise Campbells exist (counselors, academics) in other specialties.",FALSE
thinkers,دبرا كريمر,Deborah K. Kremer,thk-deborah-kremer,2015,العلاج بالتصوير الضوئي,LIKELY_FABRICATED,"No trace found; searches return only unrelated medical (neonatal bilirubin) phototherapy literature and an unrelated psych-testing practice named Kremer Psych.",FALSE
thinkers,ديپاك رامسوبك,Deepak Ramsubick,thk-deepak-ramsubeik,1980,علم النفس الفيدي (المستند إلى الفيد),LIKELY_FABRICATED,"No trace of this person found; an unrelated psychiatrist named Chanelle Ramsubick exists but different name/field.",FALSE
thinkers,فرانك غولدشتاين,Frank Goldstein,thk-dhanna,1980,br-psychoeducation,LIKELY_FABRICATED,"No 'Frank Goldstein' found. The real, well-documented figure in family psychoeducation for schizophrenia is Michael J. Goldstein, not Frank -- different first name.",FALSE
thinkers,دوغلاس كناب,Douglas Knab,thk-dknab,1990,br-psychoeducation,LIKELY_FABRICATED,"No trace found; only unrelated private individuals named Douglas Knab turned up.",FALSE
thinkers,دونغ ليو,Dong Liu,thk-dluo,2010,علم النفس الإيجابي الشرقي,STILL_UNCERTAIN,"Dong Liu is a fairly common Chinese name; real academics named Dong Liu exist (Tsinghua philosophy professor; Georgia Tech org-behavior professor) working in adjacent areas (Eastern philosophy/psychology, cross-cultural positive psychology topics appear in the literature) but no specific match confirms this exact person as a named founder/figure of 'Eastern positive psychology'.",FALSE
thinkers,إيفا ميرسيكا,Eva Drewek-Mericka,thk-dmercieca,,البحث الظاهراتي,LIKELY_FABRICATED,"Zero search results for this name.",FALSE
thinkers,ديفيد باركر,David Parker,thk-dparker,1995-2015,العلاج الاجتماعي (Social Therapy),LIKELY_FABRICATED,"No trace of this specific person found; Social Therapy was founded by Fred Newman. A critic named Ian Parker appears in the literature but different first name and role (critic, not practitioner/founder).",FALSE
thinkers,ديان رابين,Diane Baird Rabine,thk-drabin,2010,ABFT (العلاج الأسري المرتكز على التعلق),LIKELY_FABRICATED,"Zero search results for this name; ABFT was founded by Guy Diamond and colleagues.",FALSE
thinkers,ديفيد واليس,David Wallis,thk-dwallis,1990-2010,العلاج السردي (Narrative Therapy),LIKELY_FABRICATED,"No 'David Wallis' found; narrative therapy was founded by Michael White and David Epston. A researcher named J. Wallis has written about narrative therapy definitions but different first name.",FALSE
thinkers,دونغ-وي تشن,Dong-wei Chen,thk-dwchen,,البحث الظاهراتي,STILL_UNCERTAIN,"A real co-author 'DongWei Chen' appears on a 2025 Frontiers in Psychology paper on phenomenology/mindreading (with Yaming Shang), a plausible match to the phenomenological-research field, but evidence is thin (single co-authorship) so not confirmed with full confidence.",FALSE
thinkers,إيما كول,Emma Cole,thk-ecolle,2010,العلاج الزوجي التعاوني (Collaborative Couple Therapy),LIKELY_FABRICATED,"No trace of this person in this specific field.",FALSE
thinkers,إيلينور كريزوستومو,Eleanor Crisostomo,thk-eleanor-crisostomo,2000,Sikolohiyang Pilipino (Filipino Psychology),LIKELY_FABRICATED,"No exact match found; several other Filipino women named Eleanor appear in adjacent contexts (Eleanor Cadayona, Eleanor Elequin) but none matching 'Crisostomo'.",FALSE
thinkers,إلين ربيك,Elin Rbæk,thk-elin-rbaek,2000,فرق العكس العاكسة (Reflecting Teams),LIKELY_FABRICATED,"No trace found; Reflecting Teams was founded by Tom Andersen.",FALSE
thinkers,إيف مارودا,Evelyn Maroda,thk-emaroda,1998,العلاج العلائقي المجسد (ERT),LIKELY_FABRICATED,"No trace of this person found in this field.",FALSE
thinkers,إريك رايشيلت,Eric Reichelt,thk-ereichelt,1970,br-teacch (possible confusion with Robert Reichler),LIKELY_FABRICATED,"Confirmed: TEACCH was co-founded by Eric Schopler and Robert Reichler, not 'Eric Reichelt' -- a conflation of the two real co-founders' names/spellings, not a genuine third person.",FALSE
thinkers,إريك پيرسون,Erik Pearson,thk-erikpearson,2005,br-restorative-justice,LIKELY_FABRICATED,"No trace of this specific person found in restorative justice.",FALSE
thinkers,فرانسيسكو غوتيريس,Francisco Gutiérrez,thk-fgutier,1975-2020,علم نفس التحرير (Liberation Psychology),LIKELY_FABRICATED,"No 'Francisco Gutiérrez' found in Liberation Psychology, whose central founder is Ignacio Martín-Baró. A different real 'Gustavo Gutiérrez' is the founder of Liberation Theology (not psychology) -- different first name and different discipline, so not treated as a match.",FALSE
thinkers,ف. كي. فو,F. K. Fu,thk-fkfu,1980,br-teacch,LIKELY_FABRICATED,"No trace of this person found; TEACCH founders are Eric Schopler and Robert Reichler.",FALSE
thinkers,ماري كورنين,Mary E. Corrigan,thk-fmodestin,1990,br-psychiatric-vocational-rehab,LIKELY_FABRICATED,"No 'Mary E. Corrigan' found in this field. The dominant, real researcher in psychiatric rehabilitation/stigma is Patrick W. Corrigan -- different first name/gender, not a spelling variant.",FALSE
thinkers,جين إينيس,Gene Ennis,thk-gene-ennis,2015,br-recovery-oriented,LIKELY_FABRICATED,"No confirmed match; a citation fragment referencing 'Ennis, G.' appeared in a secondary source but the actual cited paper's author list (McGuire et al., 2021, Psychiatric Rehabilitation Journal) does not include any Ennis, so this lead did not pan out.",FALSE
thinkers,جورج تومبسون,George Thompson,thk-george-thompson,2000,تحليل المعاملات (TA),LIKELY_FABRICATED,"No trace found; TA was founded by Eric Berne.",FALSE
thinkers,جيليان أبوت,Gillian Abbott,thk-gillian-abbott,2015,العلاج الديناميكي البيني القصير (DIT),CONFIRMED_REAL,"Confirmed real: Gillian Abbott is a documented UK-based BACP-registered psychotherapist who explicitly offers Dynamic Interpersonal Therapy (DIT), matching the field exactly, per her listing on findatherapy.org and her practice website.",TRUE
thinkers,غيليس روز,Giles M. Rose,thk-grose,1985-2010,br-psychiatric-rehabilitation,LIKELY_FABRICATED,"No trace of this specific person found in psychiatric rehabilitation.",FALSE
thinkers,غيلي روزيليني,Gayle Rosellini,thk-groselli,1990,علاج إيماغو العلائقي (Imago),LIKELY_FABRICATED,"No trace found; Imago Relationship Therapy was founded by Harville Hendrix (and Helen LaKelly Hunt).",FALSE
thinkers,جونيل سيدِربلاد,Gunnel Cederblad,thk-gunnel-cederblad,1990,تحليل المعاملات (TA),LIKELY_FABRICATED,"No trace found; TA was founded by Eric Berne.",FALSE
thinkers,ف. هرتسوغ,F. Herzog,thk-hherzog,,البحث الظاهراتي,CONFIRMED_REAL,"Confirmed real: Max Herzog is a documented German phenomenological psychologist, co-editor (with C. F. Graumann, 1991) of work applying the phenomenological method in psychology, and author on William James's influence on phenomenological psychology in Europe. Field matches exactly; corrected first name/initial from 'F.' to Max.",TRUE
thinkers,هيلموت هوبر,Helmut Huber,thk-hhuber,1965-2005,مدرسة شولتز-هينكه الألمانية (Neo-Kraepelinian),LIKELY_FABRICATED,"No 'Helmut Huber' found in this field. A real, different German psychiatrist named Gerd Huber worked on related early-psychosis/basic-symptoms concepts, and a different figure named Höck was a documented student of Schultz-Hencke -- neither matches this name.",FALSE
