category,title_ar,title_en,slug,active_period,school
thinkers,آن ميستوفر,Ann Mithoefer,thk-amithoefer,2000,العلاج بمساعدة MDMA (MAPS)
thinkers,ألبرت مْنكوبِي,Albert Mn cube,thk-amncube,1995-2010,علم نفس الأوبونتو (Ubuntu)
thinkers,ألكسندر مولر,Alexander Müller,thk-amuller,,علم النفس الفردي
thinkers,إيمي مورغان,Amy E. Morgan,thk-amy-morgan,2010,br-sport-psychology
thinkers,أرنه نيس,Arne Næss,thk-anaess,1973-2009,العلاج البيئي/الطبيعي
thinkers,عادل نجّام,Adil Najam,thk-anajam,1996,علم النفس الإسلامي/العلاج النفسي الصوفي
thinkers,أندرس إريكسون,Anders Ericsson,thk-andersericson,1985-2020,br-performance-psychology
thinkers,إيميلي بلاك,Emily Black,thk-andrew-barnes,2015,أسلوب إلمان في التنويم
thinkers,أندرو جونسون,Andrew Johnson,thk-andrew-johnson,2010,أسلوب إلمان في التنويم
thinkers,أندرو شنك,Andrew Schnack,thk-andrew-schnack,2010,br-discernment-counseling
thinkers,أنغوس ماكفارلن,Angus Hikairo Macfarlane,thk-angusmacfarlane,1980,Kaupapa Māori Psychology
thinkers,هاينز ل. آنسْباخِر,Heinz L. Ansbacher,thk-ansbacher,,علم النفس الفردي
thinkers,ماغي أنتوني,Maggie Anthony,thk-anthony,,مدرسة التحليل النفسي
thinkers,ديدييه أنزيو,Didier Anzieu,thk-anzieu,,التحليل النفسي
thinkers,أنا ماريا دي أوليفيرا,Ana Maria de Oliveira,thk-aoliveira,,مدرسة التحليل النفسي
thinkers,أنا أريتي,Anna A. Pert,thk-apert,2000,br-ddp
thinkers,ألبرت بيسّو,Albert Pesso,thk-apesso,1966,PBSP (Pesso Boyden System Psychomotor)
thinkers,أدريان راين,Adrian Raine,thk-araine,1982,br-aggression-treatment
thinkers,آرثر بيكر-ويدمان,Arthur Becker-Weidman,thk-arthurbeckerweidman,2000,العلاج التفاعلي النمائي الثنائي (DDP)
thinkers,ألان شور,Allan N. Schore,thk-aschore,1990,التكامل العصبي البيني الشخصي (Interpersonal Neurobiology)
thinkers,ألان شولتز,Alan Schultz,thk-aschultz,1990,العلاج الاجتماعي (Social Therapy)
thinkers,آرثر شوهام,Arthur Shoham,thk-ashoham,1980-2010,br-brief-strategic-therapy
thinkers,روبرتو أساجيولي,Roberto Assagioli,thk-assagioli,1911-1974,الإنسانية
thinkers,أَنتوني ستيفنز (Anthony Stevens),Anthony Stevens,thk-anth,,مدرسة التحليل النفسي
thinkers,أنتوني سوتيتش,Anthony J. Sutich,thk-asutich,1967-1976,علم النفس التكاملي (Integral)
thinkers,أنا تيريزا دي توبار,Ana Teresa de Tobar,thk-atobart,,مدرسة التحليل النفسي
thinkers,جورج أتوود,George Atwood,thk-atwood,,مدرسة التحليل النفسي
thinkers,بيارا أولانييه,Piera Aulagnier,thk-aulagnier,,مدرسة التحليل النفسي
thinkers,[مؤسِّسو ISAP / IIJP / NIJA / Israel Society of Analytical Psychology],Founders of Israel Jungian associations,thk-aulanc,,مدرسة التحليل النفسي
thinkers,سري أوروبندو,Sri Aurobindo,thk-aurobindo,1910-1950,علم النفس الأيورفيدي/الهندي التقليدي
thinkers,هوارد باكال,Howard Bacal,thk-bacal,,مدرسة التحليل النفسي
thinkers,ألان باديو,Alain Badiou,thk-badiou,,التحليل النفسي
thinkers,إلسوورث ف. بيكر,Elsworth F. Baker,thk-baker,,علم نفس الجسد
thinkers,بالا جايسون,Bala Jaison,thk-bala-jaison,2005,التركيز (Focusing)
thinkers,بيرجيتّا ألاكارِ,Birgitta Alakare,thk-balakare,1984,الحوار المفتوح (Open Dialogue)
thinkers,ديفيد هـ. بارلو,David H. Barlow,thk-barlow,1970,المعرفية السلوكية
thinkers,باري كريمر,Barry S. Kramer,thk-barry-kramer,2010,PCIT (العلاج التفاعلي بين الوالد والطفل)
thinkers,أنتوني بيتمان,Anthony Bateman,thk-bateman,,مدرسة التحليل النفسي
thinkers,برنت أتكينسون,Brent J. Atkinson,thk-batkinson,1985,العلاج الزوجي التعاوني (Collaborative Couple Therapy)
thinkers,هيلتون غودوين «بيتر» باينز,Helton Godwin Baynes,thk-baynes,,التحليل النفسي
thinkers,بوني بادنوك,Bonnie Badenoch,thk-bbadenoch,2000,التكامل العصبي البيني شخصي (Interpersonal Neurobiology)
thinkers,بوني بينبريدج كوهن,Bonnie Bainbridge Cohen,thk-bbcohen,1973,Body-Mind Centering
thinkers,برونو بِتِّلهايم,Bruno Bettelheim,thk-bbettelheim,,التحليل النفسي
thinkers,غاستون بوييسن,Gaston Boyesen,thk-bboyesen,1970,PBSP (Pesso Boyden System Psychomotor)
thinkers,كارين بَد,Karen Budd,thk-bbundy,1995,br-pcit
thinkers,برنارد وايت,Bernard White,thk-bcwhite,1980-2010,br-dynamic-couples-family-therapy
thinkers,بيرنارد دانِفَر,Bernard Dannefer,thk-bdanner,1990,علم نفس الأوبونتو (Ubuntu)
thinkers,آرون تيموثي بيك,Aaron T. Beck,thk-beck,1963-2018,المعرفية السلوكية
thinkers,بياتريس بيبي,Beatrice Beebe,thk-beebe,,مدرسة التحليل النفسي
thinkers,مايكل بينثال,Michael Benthall,thk-benthall,1990,الديانيتكس / السيانتولوجيا
thinkers,إيمانويل بيرمان,Emanuel Berman,thk-berman,,مدرسة التحليل النفسي
thinkers,سيغفريد بيرنفيلد,Siegfried Bernfeld,thk-bernfeld,,مدرسة التحليل النفسي
thinkers,بِسِل فَن دِر كولك,Bessel van der Kolk,thk-besselvanderkolk,1980,الخبرة الجسدية (Somatic Experiencing)
thinkers,لاري بويتلر,Larry E. Beutler,thk-beutler,1979,التكاملية/الانتقائية
thinkers,باربرا فريدريكسون,Barbara L. Fredrickson,thk-bfredrickson,1998,علم النفس الإيجابي (Seligman)
thinkers,برنارد غيرني,Bernard Guerney,thk-bguerney,1964,Filial Therapy (العلاج العلائقي الوالد-الطفل)
thinkers,بيرت هلنغر,Bert Hellinger,thk-bhellinger,1980-2019,تشكيلات الأسرة (Family Constellations)
thinkers,بيل هوكس,bell hooks,thk-bhooks,1981-2021,br-intersectional-feminist
thinkers,بيل ماثيوز,Bill Matthews,thk-bill-matthews,2015,Discernment Counseling (الاستشارة التمييزية)
thinkers,ويلفريد بيون,Wilfred Bion,thk-bion,,مدرسة التحليل النفسي
thinkers,بيتي جوزف,Betty Joseph,thk-bjoseph,,التحليل النفسي
thinkers,بِنْيامين كوفمان,Benjamin Kaufman,thk-bkaufman,1970-1995,العلاج بالتحويل (Conversion Therapy)
thinkers,بيتي لو بيتنر,Betty Lou Bettner,thk-blbettner,,علم النفس الفردي
thinkers,أوجين بلويلَر,Eugen Bleuler,thk-bleuler,,مدرسة التحليل النفسي
thinkers,باري مالتزكي,Barry M. Maletzky,thk-bmaletzky,1980-2010,br-sotp
thinkers,براوليو مونتالفو,Braulio Montalvo,thk-bmontalvo,1965-2013,العلاج الأسري البنيوي
thinkers,بوب مور,Bob Moore,thk-bmoore,1971,EST / Landmark Forum
thinkers,ديفيد بوعِلّا,David Boadella,thk-boadella,,علم نفس الجسد
thinkers,بوب بيك,Bob Beck,thk-bobbeck,1980-2014,السيبرنتيكا النفسية (Psycho-Cybernetics)
thinkers,بيل أوهَنلون,Bill O'Hanlon,thk-bohanlon,1980,العلاج الزوجي التعاوني (Collaborative Couple Therapy)
thinkers,جين شينودا بولن,Jean Shinoda Bolen,thk-bolen,,مدرسة التحليل النفسي
thinkers,ماري بونابرت,Marie Bonaparte,thk-bonaparte,,مدرسة التحليل النفسي
thinkers,لويجي بوسكولو,Luigi Boscolo,thk-boscolo,1971,التكاملية/الانتقائية
thinkers,إيفان بوشورميني-ناجي,Ivan Boszormenyi-Nagy,thk-bosz,1960-2007,br-dynamic-couples-family-therapy
thinkers,جون بولبي,John Bowlby,thk-bowlby,,مدرسة التحليل النفسي
thinkers,غيردا بويزن,Gerda Boyesen,thk-boyesen,,علم نفس الجسد
thinkers,بروس د. بيري,Bruce D. Perry,thk-bperry,1990,علاج الصدمة العصبي
thinkers,برت باول,Bert Powell,thk-bpowell,1980,دائرة الأمان (Circle of Security)
thinkers,برنارد براندشافت,Bernard Brandchaft,thk-brandchaft,,مدرسة التحليل النفسي
thinkers,تشارلز راب,Charles A. Rapp,thk-brapp,1980-2010,br-case-management
thinkers,يوزف بروير,Josef Breuer,thk-breuer,,مدرسة التحليل النفسي
thinkers,براين ألمان,Brian M. Alman,thk-brian-aleman,1985,أسلوب إلمان في التنويم
thinkers,بريان هيوز,Brian Hug,thk-brianhug,2012,العلاج التفاعلي النمائي الثنائي (DDP)
thinkers,برايان وايس,Brian L. Weiss,thk-brianweiss,1980,إعادة الولادة
thinkers,فيليب برومبرغ,Philip Bromberg,thk-bromberg,,مدرسة التحليل النفسي
thinkers,برنارد روزن,Bernard Rosen,thk-brosen,1985,MDFT (العلاج الأسري متعدد الأبعاد)
thinkers,باربرا روثباوم,Barbara Olasov Rothbaum,thk-brothaum,1995,br-vr-therapy
thinkers,بروس بيركنز,Bruce S. Perkins,thk-bruceperkins,2005,العلاج الحسي-الحركي (Sensorimotor Psychotherapy)
thinkers,بيرند رويغر,Bernd Rüger,thk-brueger,1990,العلاج الإيجابي عبر-الثقافي (Peseschkian)
thinkers,دوروثي بيرلينغهام,Dorothy Burlingham,thk-burlingham,,التحليل النفسي
thinkers,بِسِل فان دير كولك,Bessel A. van der Kolk,thk-bvdkolk,1984,علاج الصدمة العصبي
thinkers,بريندا فيدرهولد,Brenda K. Wiederhold,thk-bwiederhold,1998,br-vr-therapy
thinkers,بيل ويلسون (مؤسس AA),Bill W. (William Griffith Wilson),thk-bwilson,1935-1971,الإدمان
thinkers,كارين ألبريت,Karen Albright,thk-calbright,2000,Body-Mind Centering
thinkers,جوزيف كامبري,Joseph Cambray,thk-cambray,,التحليل النفسي
thinkers,كارل ألفريد ماير,C.A. Meier,thk-cameier,,مدرسة التحليل النفسي
thinkers,كامبيل پيرتون,Campbell Purton,thk-campbell-purton,2000,التركيز (Focusing)
thinkers,كارول أندرسون,Carol M. Anderson,thk-canderson,1980,br-psychoeducation
thinkers,تشارلز أنطاكي,Charles Antaki,thk-cantaki,1994,علم النفس الخطابي (Discursive Psychology)
thinkers,أكسيل كابريليس,Axel Capriles M.,thk-capriles,,مدرسة التحليل النفسي
thinkers,كارولين دالجليش,Carolyn Dalglish,thk-carolyn-dalglish,2012,br-discernment-counseling
thinkers,ستيفانو كارطا,Stefano Carta,thk-carta,,التحليل النفسي
thinkers,أَمدِيو كاروزو,Amedeo Caruso,thk-caruso,,مدرسة التحليل النفسي
thinkers,إيرين كلارمونت دي كاستييخو,Irene Claremont de Castillejo,thk-castillejo,,التحليل النفسي
thinkers,كارلوس ألبيرتو فاسكو,Carlos Alberto Vasco,thk-cavasco,,مدرسة التحليل النفسي
thinkers,تشارلز بوردوين,Charles M. Borduin,thk-cborduin,1983,العلاج متعدد الأجهزة (MST)
thinkers,تشارلز برينر,Charles Brenner,thk-cbrenner,,التحليل النفسي
thinkers,كريستين كالدويل,Christine Caldwell,thk-ccaldwell,1996,الجشطالت الجسدي (Naranjo)
thinkers,كورنليوس كاستوريادس,Cornelius Castoriadis,thk-ccastoriadis,,التحليل النفسي
thinkers,جيانفرانكو تشيكّين,Gianfranco Cecchin,thk-ccecchin,1975-2004,br-brief-strategic-therapy
thinkers,كاثرين تشان,Catherine Chan,thk-cchan,,مدرسة التحليل النفسي
thinkers,سي. ويست تشرتشمان,C. West Churchman,thk-cchurchman,1950-2004,النظرية العامة للأنظمة
thinkers,كارولين بيبي كوان,Carolyn Pape Cowan,thk-ccowan,1979-2015,PREP (برنامج تعزيز العلاقة والوقاية)
thinkers,كاثرين كروثر,Catherine Crowther,thk-ccrowther,,مدرسة التحليل النفسي
thinkers,كارمن دِل أورو,Carmen Dell'Oro,thk-cdello,1990-2015,الأنظمة اللغوية التعاونية
thinkers,كريس دِنْبَره,Chris Denborough,thk-cdenborough,1990,العلاج السردي (Narrative Therapy)
thinkers,كلير دوغلاس,Claire Douglas,thk-cdouglas,,التحليل النفسي
thinkers,سيسيل هيموان,Cecile Himawan,thk-cecilehimawan,2010,الأنساق الأسرية الداخلية (IFS)
thinkers,كولين البيجاني,Colleen El-Bejjani,thk-cel-bejjani,,مدرسة التحليل النفسي
thinkers,تشارلز فيرستر,Charles Ferster,thk-cferster,,مدرسة التحليل النفسي
thinkers,كولين غاريت,Colin Garrett,thk-cgarrett,2000,Thought Field Therapy (TFT)
thinkers,تشارلز جيربر,Charles Gerber,thk-cgerber2,1990-2010,الأنظمة اللغوية التعاونية
thinkers,تشارلز غروب,Charles S. Grob,thk-cgrob,1985,العلاج بمساعدة النفسانية
thinkers,كريستينا غروف,Christina Grof,thk-cgrof,1970,التنفس الهولوتروبي
thinkers,تشارلز غليسون,Charles Glisson,thk-charles-glisson,1990,br-mst
thinkers,تشارلز فولكنر,Charles Faulkner,thk-charlesfaulkner,1975,السيبرنتيكا النفسية (Psycho-Cybernetics)
thinkers,شيريل فيربيرن,Cheryl Fairbairn-Dunlop,thk-cherylfairbairn,1985,Te Whare Tapa Whā (نموذج)
thinkers,نانسي تشودورو,Nancy Chodorow,thk-chodorow,,مدرسة التحليل النفسي
thinkers,كلاريسا بينكولا إِسْتِس,Clarissa Pinkola Estés,thk-clarissa,,التحليل النفسي
thinkers,كلارك هـال,Clark L. Hull,thk-clhull,,مدرسة التحليل النفسي
thinkers,كلوي مادانيس,Cloe Madanes,thk-cloemadanes,1970,العلاج الأسري الاستراتيجي (بالي ألتو/MRI)
thinkers,كلوي مادانس,Cloé Madanes,thk-cmadanes,1975-2022,علاج التبعية-السلطة (SAR)
thinkers,كاثي مالكيودي,Cathy A. Malchiodi,thk-cmalchiodi,1980,العلاج بالفن
thinkers,كريستوفر ر. مارتل,Christopher R. Martell,thk-cmartell,1996,المعرفية السلوكية
thinkers,تشاندرا موهانتاي,Chandra Talpade Mohanty,thk-cmohanty,1984,br-intersectional-feminist
thinkers,شانتال موف,Chantal Mouffe,thk-cmouffe,,التحليل النفسي
thinkers,كلاوديو نارانخو,Claudio Naranjo,thk-cnaranjo,1965-2023,التنفس الهولوتروبي
thinkers,كوني ري أندرسون,Connie Rae Anderson,thk-connie-rae-anderson,2000,إعادة الولادة
thinkers,ليونيل كوربت,Lionel Corbett,thk-corbett,,التحليل النفسي
thinkers,كريستوفر بيترسون,Christopher Peterson,thk-cpeterson,1988-2012,العلاج القائم على القوة (Strengths-Based)
thinkers,كارلو براتا,Carlo Prata,thk-cprata,1990-2015,العلاج الأسري الميلاني (Milan Systemic)
thinkers,كلايف روبنز,Clive Robbins,thk-crobbins,1962-2011,العلاج بالموسيقى
thinkers,كارل روجرز,Carl R. Rogers,thk-crogers,1940-1987,حركة اللقاء الجماعي
thinkers,تشارلز ريتشارد سنايدر,Charles R. Snyder,thk-crsnyder,1991-2006,العلاج القائم على الأمل (Snyder)
thinkers,تشارلز شيفر,Charles E. Schaefer,thk-cschaefer,1970,Filial Therapy (العلاج العلائقي الوالد-الطفل)
thinkers,كارلوس سلوزكي,Carlos E. Sluzki,thk-csluzki,1970,العلاج الأسري الاستراتيجي (MRI/Palo Alto)
thinkers,تشارلز سوكرايدِس,Charles W. Socarides,thk-csocarides,1960-2005,العلاج بالتحويل (Conversion Therapy)
thinkers,كوليت سولر,Colette Soler,thk-csoler,,التحليل النفسي
thinkers,تشارلز تارت,Charles T. Tart,thk-ctart,1969,علم النفس عبر الشخصي
thinkers,كلارا تومسون,Clara Thompson,thk-cthompson,,التحليل النفسي
thinkers,سيسليو تيليس,Cecilio Tieles,thk-ctieles,,مدرسة التحليل النفسي
thinkers,تشوغيام ترونغبا,Chögyam Trungpa,thk-ctrungpa,1970-1987,العلاج النفسي التأملي
thinkers,كارلوس توزيو,Carlos Tuzio,thk-ctuzio,,مدرسة التحليل النفسي
thinkers,كارولين ويبستر-ستراتون,Carolyn Webster-Stratton,thk-cwebster-stratton,1980,br-pcit
thinkers,كريستوفر ويبستر,Christopher D. Webster,thk-cwebster,1984-2010,br-therapeutic-risk-assessment
thinkers,جون مارش,John Marsh,thk-cwhitaker-pt,2000,br-teacch
thinkers,كارل وايتيكر,Carl A. Whitaker,thk-cwhitaker,1946-1995,MDFT (العلاج الأسري متعدد الأبعاد)
thinkers,تشيي ياماناكا,Chie Yamanaka,thk-cyamanaka,,مدرسة التحليل النفسي
thinkers,تشارلز زيناه,Charles H. Zeanah,thk-czeanah,1980,PCIT
thinkers,ديفيد أبرام,David Abram,thk-dabram,1996,العلاج البيئي/الطبيعي
thinkers,كازيمير دابروفسكي,Kazimierz Dąbrowski,thk-dabrowski,1932-1980,الإنسانية
thinkers,دان فيشر,Dan B. Fisher,thk-dan-fisher,1995,br-recovery-oriented
thinkers,ديب دانا,Deb Dana,thk-dana,2014,العلاج المستنير عصبيًا/بولفاغال
thinkers,دان براون,Dan Brown,thk-danbrown-ddp,2008,العلاج التفاعلي النمائي الثنائي (DDP)
thinkers,دانييل ليڤيسون,Danielle Levison,thk-daniellevision,1990,العلاج بالحركة والرقص
thinkers,أليسون دارسي,Alison Darcy,thk-darcy-woebot,,br-ai-chatbot-therapy
thinkers,ديفيد إرسغ,David Erceg,thk-david-erceg,2005,br-mst
thinkers,ديفيد فيلدمان,David B. Feldman,thk-david-feldman,2005,العلاج القائم على الأمل (Snyder)
thinkers,ديفيد كراوس,David A. Krauss,thk-david-krauss,1990,العلاج بالتصوير الضوئي
thinkers,ديفيد ريڤ,David P. Reeve,thk-david-reeve,2010,br-sport-psychology
thinkers,فرانسوا دافين,Françoise Davoine,thk-davoine,,مدرسة التحليل النفسي
thinkers,دونالد بِيكوم,Donald H. Baucom,thk-dbaucom,1985,CBCT (العلاج الزوجي المعرفي-السلوكي)
thinkers,ديانا باومرند,Diana Baumrind,thk-dbaumrind,1966-2018,علم نفس الطفل
thinkers,ديبورا بيكر,Deborah R. Becker,thk-dbecker,1995,br-psychiatric-rehabilitation
thinkers,د. بوب (روبرت هولبروك سميث),Dr. Bob (Robert Holbrook Smith),thk-dbob,1935-1950,الإدمان
thinkers,ديان بوييدن,Dianne Boyden-Pesso,thk-dboyden,1966,PBSP (Pesso Boyden System Psychomotor)
thinkers,دِنيس كامبل,Dennise Campbell,thk-dcamp,2000,الأنظمة اللغوية التعاونية
thinkers,دوروين كارت‌رَيت,Dorwin Cartwright,thk-dcartwright,1945-2008,الحقل الظاهراتي (Lewin)
thinkers,ديفيد تشامبرلين,David Chamberlain,thk-dchamberlain,1983-2016,الجشطالت الجسدي (Naranjo)
thinkers,ديباك شوبرا,Deepak Chopra,thk-dchopra,1987,علم النفس الأيورفيدي/الهندي التقليدي
thinkers,داوسون تشيرش,Dawson Church,thk-dchurch,2005,Thought Field Therapy (TFT)
thinkers,دونالد أو. كليفتون,Donald O. Clifton,thk-dclifton,1950-2003,العلاج القائم على القوة (Strengths-Based)
thinkers,دانيال دايموند,Daniel J. Diamond,thk-ddiamond,2000,ABFT (العلاج الأسري المرتكز على التعلق)
thinkers,دوروثي دينرشتاين,Dorothy Dinnerstein,thk-ddinste,1976-1992,التحليل النفسي النسوي
thinkers,دبرا كريمر,Deborah K. Kremer,thk-deborah-kremer,2015,العلاج بالتصوير الضوئي
thinkers,ديرِك إدواردز,Derek Edwards,thk-dedwards,1990,علم النفس الخطابي (Discursive Psychology)
thinkers,ديپاك رامسوبك,Deepak Ramsubick,thk-deepak-ramsubeik,1980,علم النفس الفيدي (المستند إلى الفيد)
thinkers,ديف إلمان,Dave Elman,thk-delman,1947-1967,التنويم العلاجي السريري
thinkers,دينيس ويتلي,Denis Waitley,thk-deniswaitley,1970,السيبرنتيكا النفسية (Psycho-Cybernetics)
thinkers,ديفيد إبستون,David Epston,thk-depston,1988,العلاج السردي (Narrative Therapy)
thinkers,ديرالد وينغ سو,Derald Wing Sue,thk-deraldwing-sue,1972,الاستشارات متعددة الثقافات
thinkers,هيلين دويتش,Helene Deutsch,thk-deutsch,,مدرسة التحليل النفسي
thinkers,ديفيد فاينشتاين,David Feinstein,thk-dfeinstein,2000,Thought Field Therapy (TFT)
thinkers,دانيال فيشر,Daniel B. Fisher,thk-dfisher,1992,br-peer-support
thinkers,ديانا فوشا,Diana Fosha,thk-dfosha,,التحليل النفسي
thinkers,دييغو غارسيا بارّيرا,Diego García Barrera,thk-dgbarrera,,مدرسة التحليل النفسي
thinkers,ديفيد غراند,David Grand,thk-dgrand,2003,العلاج المتمركز حول الصدمة
thinkers,دِنيز د. ديفيد,Denise D. Davis,thk-dgreenberger,1980,العلاج المعرفي الكلاسيكي
thinkers,فرانك غولدشتاين,Frank Goldstein,thk-dhanna,1980,br-psychoeducation
thinkers,دِنيس هوك,Dennis Fox,thk-dhook,1985-2010,علم النفس النقدي
thinkers,كارل دي كليمنتي,Carlo C. DiClemente,thk-diclemente,1982,التكاملية/الانتقائية
thinkers,هانس ديكمان,Hans Dieckmann,thk-dieckmann,,مدرسة التحليل النفسي
thinkers,موريل ديمن,Muriel Dimen,thk-dimen,,مدرسة التحليل النفسي
thinkers,دون جاكسون,Don D. Jackson,thk-djackson,1963-1968,العلاج الأسري الاستراتيجي (Palo Alto/MRI)
thinkers,دانيال كانمان,Daniel Kahneman,thk-dkahneman,1974-2024,علم النفس
thinkers,دونالد كَلشد,Donald Kalsched,thk-dkalsched,,مدرسة التحليل النفسي
thinkers,دانيال كيركلاند,Don Hanlon Johnson,thk-dkirkland,1990,العلاج العلائقي المجسد (ERT)
thinkers,دوغلاس كناب,Douglas Knab,thk-dknab,1990,br-psychoeducation
thinkers,دونغ ليو,Dong Liu,thk-dluo,2010,علم النفس الإيجابي الشرقي
thinkers,ديرك ماريڤوت,Dirk Marivoet,thk-dmarivoet,,علم نفس الجسد
thinkers,دونالد ميتشنباوم,Donald H. Meichenbaum,thk-dmeichenbaum,1969,العلاج المعرفي الكلاسيكي
thinkers,إيفا ميرسيكا,Eva Drewek-Mericka,thk-dmercieca,,البحث الظاهراتي
thinkers,ديفيد ل. ميلر,David L. Miller,thk-dmiller,,التحليل النفسي
thinkers,كيم ميوزر,Kim T. Mueser,thk-dmueser,1985,br-psychoeducation
thinkers,فرانسواز دولتو,Françoise Dolto,thk-dolto,,مدرسة التحليل النفسي
thinkers,دان أولِس,Dan Olweus,thk-dolweus,1970,علاج التنمر والعدوان
thinkers,دونالد أتكينسون,Donald R. Atkinson,thk-donaldatkinson,1970-2010,الاستشارات متعددة الثقافات
thinkers,دومينيك م. أَورَنج,Donna M. Orange,thk-dorange,,التحليل النفسي
thinkers,كريستين داونينغ,Christine Downing,thk-downing,,مدرسة التحليل النفسي
thinkers,ديفيد باركر,David Parker,thk-dparker,1995-2015,العلاج الاجتماعي (Social Therapy)
thinkers,دورا غوميز بيراكوس,Dora Gomez Pierrakos,thk-dpierrakos,,علم نفس الجسد
thinkers,ديان بويل هيلر,Diane Poole Heller,thk-dpooleheller,1999,العلاج المستنير عصبيًا/بولفاغال
thinkers,ديان رابين,Diane Baird Rabine,thk-drabin,2010,ABFT (العلاج الأسري المرتكز على التعلق)
thinkers,رودولف دريكورس,Rudolf Dreikurs,thk-dreikurs,,مدرسة التحليل النفسي
