category,title_ar,title_en,slug,active_period,school,status,note
thinkers,ليندا كون,Linda Kuhn,thk-lkuhn,1990,دائرة الأمان (Circle of Security),UNCERTAIN,"Not verified via search this session (search budget exhausted). Flag: Circle of Security is documented as founded by Cooper, Hoffman, Marvin, and Powell — 'Linda Kuhn' does not match the commonly documented founder list, possible name error."
thinkers,لوكا لوزي,Luca Losi,thk-llosi,1995,العلاج الأسري الميلاني (Milan Systemic),UNCERTAIN,"Not verified via search this session (search budget exhausted). Cannot independently confirm this person among documented Milan Systemic figures (typically Selvini Palazzoli, Boscolo, Cecchin, Prata)."
thinkers,ليستر لوبورسكي,Lester Luborsky,thk-lluborsky,1950-2005,التحليل النفسي الدوري (Cyclical Psychodynamics),UNCERTAIN,"Not verified via search this session (search budget exhausted). Lester Luborsky is a known real psychoanalytic researcher (CCRT method), but the school label 'Cyclical Psychodynamics' is more commonly associated with Paul Wachtel — possible field mismatch, unconfirmed."
thinkers,لوسي جين ميلر,Lucy Jane Miller,thk-lmiller,1980,التكامل الحسي (Sensory Integration),UNCERTAIN,"Not verified via search this session (search budget exhausted). Believed to be a real occupational-therapy researcher (Sensory Processing Disorder), but not independently confirmed here."
thinkers,إبراهام كاوانيوآ,Abraham Kawai'ae'a,thk-lmorrnah,1990,Ho'oponopono (هاواي),DUPLICATE,"Not verified via search this session (search budget exhausted), but flagging per explicit instruction: the slug 'thk-lmorrnah' strongly suggests this entry was originally meant for Morrnah Simeona, the well-known modern originator of Self-Identity Through Ho'oponopono (SITH), not 'Abraham Kawai'ae'a'. This looks like a name mismatch/duplicate confusion between two different Hawaiian Ho'oponopono figures and should be manually reconciled — either rename to Morrnah Simeona or independently verify Abraham Kawai'ae'a as a distinct, separately documented figure before keeping this entry."
thinkers,ليندا جيمس مايرز,Linda James Myers,thk-lmyers,1985,علم النفس المتمركز حول أفريقيا (Africentric/Optimal Theory),UNCERTAIN,"Not verified via search this session (search budget exhausted). Believed to be a real Ohio State professor associated with Optimal Theory/Africentric psychology, but not independently confirmed here."
thinkers,لورينا أونان,Lorena Onnis,thk-lonan,1985,العلاج الأسري الميلاني (Milan Systemic),UNCERTAIN,"Not verified via search this session (search budget exhausted). Cannot independently confirm this person among documented Milan Systemic figures. Also note overlap with thk-llosi (Luca Losi) — both unverified figures attributed to the same school and era; worth checking for redundancy."
thinkers,لويس غيرني,Louise F. Guerney,thk-louise-guerney,1970,Filial Therapy (العلاج العلائقي الوالد-الطفل),UNCERTAIN,"Not verified via search this session (search budget exhausted). Believed to be a real co-developer of Filial Therapy (with Bernard Guerney), but not independently confirmed here."
thinkers,إيفار لوفاس,Ole Ivar Lovaas,thk-lovaas,1965-2000,تحليل السلوك التطبيقي للتوحد (br-aba-autism),UNCERTAIN,"Not verified via search this session (search budget exhausted). Widely known UCLA ABA/autism-intervention researcher; active_period was blank in source and has been provisionally filled with an approximate career span pending verification — should be re-confirmed."
thinkers,لورا بيرلز,Laura Perls,thk-lperls,1942-1990,علاج الجشطالت (Gestalt Therapy),UNCERTAIN,"Not verified via search this session (search budget exhausted). Widely known co-founder of Gestalt Therapy (with Fritz Perls), but per instructions not marked VERIFIED without this session's own search confirmation."
thinkers,لويس شولتز,Louis Schultz,thk-lschultz,1970-2005,الرولفينغ والتكامل الهيكلي,UNCERTAIN,"Not verified via search this session (search budget exhausted). Cannot independently confirm this person."
thinkers,لودفيغ بينسوانغر,Ludwig Binswanger,thk-ludwigbinswanger,1908-1966,المدرسة الوجودية (Daseinsanalyse),UNCERTAIN,"Not verified via search this session (search budget exhausted). Widely known Swiss existential psychiatrist, but per instructions not marked VERIFIED without this session's own search confirmation."
thinkers,لورا ووكر,Laura A. Walker,thk-lwalker,1980-2010,العلاج بالتحويل (Conversion Therapy),UNCERTAIN,"Not verified via search this session (search budget exhausted). Flag: identical school and identical active_period (1980-2010) as thk-lbarrett (Laurence A. Barrett) — strong possible duplicate/confusion between the two entries, recommend manual review to confirm these are genuinely distinct documented figures."
thinkers,ليمن وين,Lyman C. Wynne,thk-lwynne,1958-2000,العلاج الأسري والزوجي الدينامي (br-dynamic-couples-family-therapy),UNCERTAIN,"Not verified via search this session (search budget exhausted). Believed to be a real family-therapy researcher (pseudomutuality concept), but not independently confirmed here."
